,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V274,1.791,0.0,1.0,7.0
1,0,val,V167,1.951,0.0,1.0,7.0
2,0,train,V253,2.131,0.0,4.0,7.0
3,0,train,V182,1.336,0.0,1.0,5.0
4,0,train,V174,1.362,0.0,1.0,6.0
5,0,train,V102,4.072,0.0,1.0,0.0
6,0,train,V58,1.375,0.0,1.0,5.0
7,0,train,V195,2.292,0.0,5.0,2.0
8,0,train,V39,2.084,0.0,1.0,7.0
9,0,train,V166,3.965,0.0,1.0,0.0
10,0,train,V76,1.525,1.0,1.0,1.0
11,0,train,V261,2.013,0.0,1.0,7.0
12,0,train,V158,1.532,0.0,1.0,6.0
13,0,train,V120,2.078,0.0,1.0,7.0
14,0,train,V264,1.117,0.0,1.0,6.0
15,0,train,V34,4.872,0.0,1.0,3.0
16,0,train,V6,3.774,0.0,6.0,0.0
17,0,train,V107,1.602,0.0,1.0,2.0
18,0,train,V232,1.347,1.0,1.0,1.0
19,0,train,V84,4.808,0.0,1.0,3.0
20,0,train,V117,5.388,0.0,1.0,3.0
21,0,train,V23,1.669,0.0,1.0,7.0
22,0,train,V50,3.106,0.0,1.0,2.0
23,0,train,V236,3.322,0.0,1.0,4.0
24,0,train,V273,2.629,0.0,1.0,6.0
25,0,train,V240,1.698,0.0,1.0,6.0
26,0,train,V113,1.578,1.0,1.0,1.0
27,0,train,V9,2.041,0.0,1.0,5.0
28,0,train,V192,3.125,0.0,6.0,4.0
29,0,train,V208,2.431,0.0,1.0,5.0
30,0,train,V7,3.573,0.0,1.0,0.0
31,0,train,V90,1.565,0.0,1.0,5.0
32,0,train,V24,1.428,0.0,5.0,1.0
33,0,train,V172,1.248,1.0,1.0,1.0
34,0,train,V66,2.532,0.0,1.0,4.0
35,0,train,V136,1.821,0.0,1.0,7.0
36,0,train,V235,2.075,0.0,1.0,4.0
37,0,train,V74,1.913,0.0,1.0,5.0
38,0,train,V3,3.911,0.0,5.0,0.0
39,0,train,V189,1.413,0.0,1.0,5.0
40,0,train,V64,1.788,0.0,1.0,4.0
41,0,train,V38,4.078,0.0,1.0,0.0
42,0,train,V18,2.017,0.0,5.0,7.0
43,0,train,V26,1.235,0.0,1.0,5.0
44,0,train,V138,1.589,0.0,4.0,6.0
45,0,train,V140,1.608,0.0,5.0,1.0
46,0,train,V15,1.881,0.0,1.0,7.0
47,0,train,V221,5.258,0.0,5.0,3.0
