,epoch,step_label,file_name,losses,accs,preds,Class
0,0,val,V1,0.999,0.0,0.0,1.0
1,0,val,V12,1.006,0.0,1.0,0.0
2,0,train,V134,0.497,1.0,1.0,1.0
3,0,train,V158,0.0,1.0,1.0,1.0
4,0,train,V23,0.0,1.0,1.0,1.0
5,0,train,V121,-0.0,1.0,1.0,1.0
6,0,train,V2,-0.0,1.0,1.0,1.0
7,0,train,V162,-0.0,1.0,1.0,1.0
8,0,train,V180,-0.0,1.0,1.0,1.0
9,0,train,V156,-0.0,1.0,1.0,1.0
10,0,train,V68,29.441,0.0,1.0,0.0
11,0,train,V204,28.051,0.0,1.0,0.0
12,0,train,V189,-0.0,1.0,1.0,1.0
13,0,train,V208,-0.0,1.0,1.0,1.0
14,0,train,V157,0.0,1.0,1.0,1.0
15,0,train,V209,0.0,1.0,1.0,1.0
16,0,train,V168,0.0,1.0,1.0,1.0
17,0,train,V250,0.0,1.0,1.0,1.0
18,0,train,V181,6.791,0.0,1.0,0.0
19,0,train,V120,0.008,1.0,1.0,1.0
20,0,train,V100,2.921,0.0,1.0,0.0
21,0,train,V78,0.356,1.0,1.0,1.0
22,0,train,V256,0.897,0.0,0.0,1.0
23,0,train,V96,0.41,1.0,0.0,0.0
24,0,train,V221,0.4,1.0,0.0,0.0
25,0,train,V119,0.25,1.0,0.0,0.0
26,0,train,V95,0.189,1.0,0.0,0.0
27,0,train,V101,0.123,1.0,0.0,0.0
28,0,train,V80,2.178,0.0,0.0,1.0
29,0,train,V25,0.13,1.0,0.0,0.0
30,0,train,V173,0.133,1.0,0.0,0.0
31,0,train,V246,0.12,1.0,0.0,0.0
32,0,train,V110,2.505,0.0,0.0,1.0
33,0,train,V87,0.112,1.0,0.0,0.0
34,0,train,V176,0.113,1.0,0.0,0.0
35,0,train,V125,2.241,0.0,0.0,1.0
36,0,train,V66,2.032,0.0,0.0,1.0
37,0,train,V212,1.648,0.0,0.0,1.0
38,0,train,V178,0.217,1.0,0.0,0.0
39,0,train,V117,0.337,1.0,0.0,0.0
40,0,train,V254,1.122,0.0,0.0,1.0
41,0,train,V90,1.07,0.0,0.0,1.0
42,0,train,V249,0.933,0.0,0.0,1.0
43,0,train,V175,0.753,0.0,0.0,1.0
44,0,train,V48,0.525,1.0,1.0,1.0
45,0,train,V236,0.453,1.0,1.0,1.0
46,0,train,V153,0.333,1.0,1.0,1.0
47,0,train,V191,0.198,1.0,1.0,1.0
48,0,train,V94,0.132,1.0,1.0,1.0
49,0,train,V245,2.549,0.0,1.0,0.0
50,0,train,V237,2.54,0.0,1.0,0.0
51,0,train,V265,0.1,1.0,1.0,1.0
52,0,train,V58,0.111,1.0,1.0,1.0
53,0,train,V92,2.16,0.0,1.0,0.0
54,0,train,V186,2.29,0.0,1.0,0.0
55,0,train,V182,0.147,1.0,1.0,1.0
56,0,train,V213,1.921,0.0,1.0,0.0
57,0,train,V38,1.951,0.0,1.0,0.0
58,0,train,V243,0.198,1.0,1.0,1.0
59,0,train,V5,0.249,1.0,1.0,1.0
60,0,train,V196,1.373,0.0,1.0,0.0
61,0,train,V7,1.202,0.0,1.0,0.0
62,0,train,V69,1.11,0.0,1.0,0.0
63,0,train,V88,0.507,1.0,1.0,1.0
64,0,train,V147,0.57,1.0,1.0,1.0
65,0,train,V200,0.592,1.0,1.0,1.0
66,0,train,V65,0.603,1.0,1.0,1.0
67,0,train,V52,0.587,1.0,1.0,1.0
68,0,train,V33,0.667,1.0,1.0,1.0
69,0,train,V67,0.568,1.0,1.0,1.0
70,0,train,V77,0.953,0.0,1.0,0.0
71,0,train,V225,0.746,0.0,1.0,0.0
72,0,train,V28,0.608,1.0,1.0,1.0
73,0,train,V103,0.604,1.0,1.0,1.0
74,0,train,V268,0.806,0.0,1.0,0.0
75,0,train,V244,0.546,1.0,1.0,1.0
76,0,train,V19,0.945,0.0,1.0,0.0
77,0,train,V9,0.502,1.0,1.0,1.0
78,0,train,V75,0.485,1.0,1.0,1.0
79,0,train,V132,0.468,1.0,1.0,1.0
80,0,train,V240,0.482,1.0,1.0,1.0
81,0,train,V199,0.503,1.0,1.0,1.0
82,0,train,V159,1.033,0.0,1.0,0.0
83,0,train,V34,0.949,0.0,1.0,0.0
84,0,train,V232,0.961,0.0,1.0,0.0
85,0,train,V64,0.391,1.0,1.0,1.0
86,0,train,V40,0.487,1.0,1.0,1.0
87,0,train,V238,0.387,1.0,1.0,1.0
88,0,train,V130,0.531,1.0,1.0,1.0
89,0,train,V71,0.366,1.0,1.0,1.0
90,0,train,V146,0.379,1.0,1.0,1.0
91,0,train,V122,0.34,1.0,1.0,1.0
92,0,train,V187,0.262,1.0,1.0,1.0
93,0,train,V255,0.286,1.0,1.0,1.0
94,0,train,V109,1.651,0.0,1.0,0.0
95,0,train,V49,0.233,1.0,1.0,1.0
96,0,train,V129,0.184,1.0,1.0,1.0
97,0,train,V26,0.232,1.0,1.0,1.0
98,0,train,V11,1.765,0.0,1.0,0.0
99,0,train,V37,1.577,0.0,1.0,0.0
100,0,train,V183,1.506,0.0,1.0,0.0
101,0,train,V163,0.311,1.0,1.0,1.0
102,0,train,V259,1.346,0.0,1.0,0.0
103,0,train,V10,1.5,0.0,1.0,0.0
