Image,VideoIdx,FrameIdx,Class,t0
EmbryonVideoClassif/Frames/V3/1.png,V3,1.png,0,23.75
EmbryonVideoClassif/Frames/V3/2.png,V3,2.png,0,23.75
EmbryonVideoClassif/Frames/V3/3.png,V3,3.png,0,23.75
EmbryonVideoClassif/Frames/V3/4.png,V3,4.png,0,23.75
EmbryonVideoClassif/Frames/V3/5.png,V3,5.png,0,23.75
EmbryonVideoClassif/Frames/V3/6.png,V3,6.png,0,23.75
EmbryonVideoClassif/Frames/V3/7.png,V3,7.png,0,23.75
EmbryonVideoClassif/Frames/V3/8.png,V3,8.png,0,23.75
EmbryonVideoClassif/Frames/V3/9.png,V3,9.png,0,23.75
EmbryonVideoClassif/Frames/V3/10.png,V3,10.png,0,23.75
EmbryonVideoClassif/Frames/V3/11.png,V3,11.png,0,23.75
EmbryonVideoClassif/Frames/V3/12.png,V3,12.png,0,23.75
EmbryonVideoClassif/Frames/V3/13.png,V3,13.png,0,23.75
EmbryonVideoClassif/Frames/V3/14.png,V3,14.png,0,23.75
EmbryonVideoClassif/Frames/V3/15.png,V3,15.png,0,23.75
EmbryonVideoClassif/Frames/V3/16.png,V3,16.png,0,23.75
EmbryonVideoClassif/Frames/V3/17.png,V3,17.png,0,23.75
EmbryonVideoClassif/Frames/V3/18.png,V3,18.png,0,23.75
EmbryonVideoClassif/Frames/V3/19.png,V3,19.png,0,23.75
EmbryonVideoClassif/Frames/V3/20.png,V3,20.png,0,23.75
EmbryonVideoClassif/Frames/V3/21.png,V3,21.png,0,23.75
EmbryonVideoClassif/Frames/V3/22.png,V3,22.png,0,23.75
EmbryonVideoClassif/Frames/V3/23.png,V3,23.png,0,23.75
EmbryonVideoClassif/Frames/V3/24.png,V3,24.png,0,23.75
EmbryonVideoClassif/Frames/V3/25.png,V3,25.png,0,23.75
EmbryonVideoClassif/Frames/V3/26.png,V3,26.png,0,23.75
EmbryonVideoClassif/Frames/V3/27.png,V3,27.png,0,23.75
EmbryonVideoClassif/Frames/V3/28.png,V3,28.png,0,23.75
EmbryonVideoClassif/Frames/V3/29.png,V3,29.png,0,23.75
EmbryonVideoClassif/Frames/V3/30.png,V3,30.png,0,23.75
EmbryonVideoClassif/Frames/V3/31.png,V3,31.png,0,23.75
EmbryonVideoClassif/Frames/V3/32.png,V3,32.png,0,23.75
EmbryonVideoClassif/Frames/V3/33.png,V3,33.png,0,23.75
EmbryonVideoClassif/Frames/V3/34.png,V3,34.png,0,23.75
EmbryonVideoClassif/Frames/V3/35.png,V3,35.png,0,23.75
EmbryonVideoClassif/Frames/V3/36.png,V3,36.png,0,23.75
EmbryonVideoClassif/Frames/V3/37.png,V3,37.png,0,23.75
EmbryonVideoClassif/Frames/V3/38.png,V3,38.png,0,23.75
EmbryonVideoClassif/Frames/V3/39.png,V3,39.png,0,23.75
EmbryonVideoClassif/Frames/V3/40.png,V3,40.png,0,23.75
EmbryonVideoClassif/Frames/V3/41.png,V3,41.png,0,23.75
EmbryonVideoClassif/Frames/V3/42.png,V3,42.png,0,23.75
EmbryonVideoClassif/Frames/V3/43.png,V3,43.png,0,23.75
EmbryonVideoClassif/Frames/V3/44.png,V3,44.png,0,23.75
EmbryonVideoClassif/Frames/V3/45.png,V3,45.png,0,23.75
EmbryonVideoClassif/Frames/V3/46.png,V3,46.png,0,23.75
EmbryonVideoClassif/Frames/V3/47.png,V3,47.png,0,23.75
EmbryonVideoClassif/Frames/V3/48.png,V3,48.png,0,23.75
EmbryonVideoClassif/Frames/V3/49.png,V3,49.png,0,23.75
EmbryonVideoClassif/Frames/V3/50.png,V3,50.png,0,23.75
EmbryonVideoClassif/Frames/V3/51.png,V3,51.png,0,23.75
EmbryonVideoClassif/Frames/V3/52.png,V3,52.png,0,23.75
EmbryonVideoClassif/Frames/V3/53.png,V3,53.png,0,23.75
EmbryonVideoClassif/Frames/V3/54.png,V3,54.png,0,23.75
EmbryonVideoClassif/Frames/V3/55.png,V3,55.png,0,23.75
EmbryonVideoClassif/Frames/V3/56.png,V3,56.png,0,23.75
EmbryonVideoClassif/Frames/V3/57.png,V3,57.png,0,23.75
EmbryonVideoClassif/Frames/V3/58.png,V3,58.png,0,23.75
EmbryonVideoClassif/Frames/V3/59.png,V3,59.png,0,23.75
EmbryonVideoClassif/Frames/V3/60.png,V3,60.png,0,23.75
EmbryonVideoClassif/Frames/V3/61.png,V3,61.png,0,23.75
EmbryonVideoClassif/Frames/V3/62.png,V3,62.png,0,23.75
