,Unnamed: 0,Image,VideoIdx,FrameIdx,Class,t0
0,600,EmbryonVideoClassif/FramesRaw/V3/1.png,V3,1.png,0,23.75
1,601,EmbryonVideoClassif/FramesRaw/V3/2.png,V3,2.png,0,23.75
2,602,EmbryonVideoClassif/FramesRaw/V3/3.png,V3,3.png,0,23.75
3,603,EmbryonVideoClassif/FramesRaw/V3/4.png,V3,4.png,0,23.75
4,604,EmbryonVideoClassif/FramesRaw/V3/5.png,V3,5.png,0,23.75
5,605,EmbryonVideoClassif/FramesRaw/V3/6.png,V3,6.png,0,23.75
6,606,EmbryonVideoClassif/FramesRaw/V3/7.png,V3,7.png,0,23.75
7,607,EmbryonVideoClassif/FramesRaw/V3/8.png,V3,8.png,0,23.75
8,608,EmbryonVideoClassif/FramesRaw/V3/9.png,V3,9.png,0,23.75
9,609,EmbryonVideoClassif/FramesRaw/V3/10.png,V3,10.png,0,23.75
10,610,EmbryonVideoClassif/FramesRaw/V3/11.png,V3,11.png,0,23.75
11,611,EmbryonVideoClassif/FramesRaw/V3/12.png,V3,12.png,0,23.75
12,612,EmbryonVideoClassif/FramesRaw/V3/13.png,V3,13.png,0,23.75
13,613,EmbryonVideoClassif/FramesRaw/V3/14.png,V3,14.png,0,23.75
14,614,EmbryonVideoClassif/FramesRaw/V3/15.png,V3,15.png,0,23.75
15,615,EmbryonVideoClassif/FramesRaw/V3/16.png,V3,16.png,0,23.75
16,616,EmbryonVideoClassif/FramesRaw/V3/17.png,V3,17.png,0,23.75
17,617,EmbryonVideoClassif/FramesRaw/V3/18.png,V3,18.png,0,23.75
18,618,EmbryonVideoClassif/FramesRaw/V3/19.png,V3,19.png,0,23.75
19,619,EmbryonVideoClassif/FramesRaw/V3/20.png,V3,20.png,0,23.75
20,620,EmbryonVideoClassif/FramesRaw/V3/21.png,V3,21.png,0,23.75
21,621,EmbryonVideoClassif/FramesRaw/V3/22.png,V3,22.png,0,23.75
22,622,EmbryonVideoClassif/FramesRaw/V3/23.png,V3,23.png,0,23.75
23,623,EmbryonVideoClassif/FramesRaw/V3/24.png,V3,24.png,0,23.75
24,624,EmbryonVideoClassif/FramesRaw/V3/25.png,V3,25.png,0,23.75
25,625,EmbryonVideoClassif/FramesRaw/V3/26.png,V3,26.png,0,23.75
26,626,EmbryonVideoClassif/FramesRaw/V3/27.png,V3,27.png,0,23.75
27,627,EmbryonVideoClassif/FramesRaw/V3/28.png,V3,28.png,0,23.75
28,628,EmbryonVideoClassif/FramesRaw/V3/29.png,V3,29.png,0,23.75
29,629,EmbryonVideoClassif/FramesRaw/V3/30.png,V3,30.png,0,23.75
30,630,EmbryonVideoClassif/FramesRaw/V3/31.png,V3,31.png,0,23.75
