,Unnamed: 0,Image,VideoIdx,FrameIdx,Class,t0
0,600,EmbryonVideoClassif/Frames/V3/1.png,V3,1.png,0,23.75
1,601,EmbryonVideoClassif/Frames/V3/2.png,V3,2.png,0,23.75
2,602,EmbryonVideoClassif/Frames/V3/3.png,V3,3.png,0,23.75
3,603,EmbryonVideoClassif/Frames/V3/4.png,V3,4.png,0,23.75
4,604,EmbryonVideoClassif/Frames/V3/5.png,V3,5.png,0,23.75
5,605,EmbryonVideoClassif/Frames/V3/6.png,V3,6.png,0,23.75
6,606,EmbryonVideoClassif/Frames/V3/7.png,V3,7.png,0,23.75
7,607,EmbryonVideoClassif/Frames/V3/8.png,V3,8.png,0,23.75
8,608,EmbryonVideoClassif/Frames/V3/9.png,V3,9.png,0,23.75
9,609,EmbryonVideoClassif/Frames/V3/10.png,V3,10.png,0,23.75
10,610,EmbryonVideoClassif/Frames/V3/11.png,V3,11.png,0,23.75
11,611,EmbryonVideoClassif/Frames/V3/12.png,V3,12.png,0,23.75
12,612,EmbryonVideoClassif/Frames/V3/13.png,V3,13.png,0,23.75
13,613,EmbryonVideoClassif/Frames/V3/14.png,V3,14.png,0,23.75
14,614,EmbryonVideoClassif/Frames/V3/15.png,V3,15.png,0,23.75
15,615,EmbryonVideoClassif/Frames/V3/16.png,V3,16.png,0,23.75
16,616,EmbryonVideoClassif/Frames/V3/17.png,V3,17.png,0,23.75
17,617,EmbryonVideoClassif/Frames/V3/18.png,V3,18.png,0,23.75
18,618,EmbryonVideoClassif/Frames/V3/19.png,V3,19.png,0,23.75
19,619,EmbryonVideoClassif/Frames/V3/20.png,V3,20.png,0,23.75
20,620,EmbryonVideoClassif/Frames/V3/21.png,V3,21.png,0,23.75
21,621,EmbryonVideoClassif/Frames/V3/22.png,V3,22.png,0,23.75
22,622,EmbryonVideoClassif/Frames/V3/23.png,V3,23.png,0,23.75
23,623,EmbryonVideoClassif/Frames/V3/24.png,V3,24.png,0,23.75
24,624,EmbryonVideoClassif/Frames/V3/25.png,V3,25.png,0,23.75
25,625,EmbryonVideoClassif/Frames/V3/26.png,V3,26.png,0,23.75
26,626,EmbryonVideoClassif/Frames/V3/27.png,V3,27.png,0,23.75
27,627,EmbryonVideoClassif/Frames/V3/28.png,V3,28.png,0,23.75
28,628,EmbryonVideoClassif/Frames/V3/29.png,V3,29.png,0,23.75
29,629,EmbryonVideoClassif/Frames/V3/30.png,V3,30.png,0,23.75
30,630,EmbryonVideoClassif/Frames/V3/31.png,V3,31.png,0,23.75
31,631,EmbryonVideoClassif/Frames/V3/32.png,V3,32.png,0,23.75
32,632,EmbryonVideoClassif/Frames/V3/33.png,V3,33.png,0,23.75
33,633,EmbryonVideoClassif/Frames/V3/34.png,V3,34.png,0,23.75
34,634,EmbryonVideoClassif/Frames/V3/35.png,V3,35.png,0,23.75
35,635,EmbryonVideoClassif/Frames/V3/36.png,V3,36.png,0,23.75
36,636,EmbryonVideoClassif/Frames/V3/37.png,V3,37.png,0,23.75
37,637,EmbryonVideoClassif/Frames/V3/38.png,V3,38.png,0,23.75
38,638,EmbryonVideoClassif/Frames/V3/39.png,V3,39.png,0,23.75
39,639,EmbryonVideoClassif/Frames/V3/40.png,V3,40.png,0,23.75
40,640,EmbryonVideoClassif/Frames/V3/41.png,V3,41.png,0,23.75
41,641,EmbryonVideoClassif/Frames/V3/42.png,V3,42.png,0,23.75
42,642,EmbryonVideoClassif/Frames/V3/43.png,V3,43.png,0,23.75
43,643,EmbryonVideoClassif/Frames/V3/44.png,V3,44.png,0,23.75
44,644,EmbryonVideoClassif/Frames/V3/45.png,V3,45.png,0,23.75
45,645,EmbryonVideoClassif/Frames/V3/46.png,V3,46.png,0,23.75
46,646,EmbryonVideoClassif/Frames/V3/47.png,V3,47.png,0,23.75
47,647,EmbryonVideoClassif/Frames/V3/48.png,V3,48.png,0,23.75
48,648,EmbryonVideoClassif/Frames/V3/49.png,V3,49.png,0,23.75
49,649,EmbryonVideoClassif/Frames/V3/50.png,V3,50.png,0,23.75
50,650,EmbryonVideoClassif/Frames/V3/51.png,V3,51.png,0,23.75
51,651,EmbryonVideoClassif/Frames/V3/52.png,V3,52.png,0,23.75
52,652,EmbryonVideoClassif/Frames/V3/53.png,V3,53.png,0,23.75
53,653,EmbryonVideoClassif/Frames/V3/54.png,V3,54.png,0,23.75
54,654,EmbryonVideoClassif/Frames/V3/55.png,V3,55.png,0,23.75
